cheatgrass_studyID,meancheat,ncheat,varcheat,sagecheat_studyID,meansagecheat,nsagecheat,varsagecheat,sagebrush_studyID,meansage,nsage,varsage,pool,Article_ID
NA,NA,NA,NA,254,588.33,5,7553.71575,244,674.73,5,57454.677,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,249,807.696,5,220857.0697,239,933.4008,5,74003.82582,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,234,779.49,10,211400.766,224,504.63,5,8828.5545,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,229,1164.618,10,381869.6647,219,707.8716,5,27187.3238,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,214,1251.18,10,608921.469,204,1078.65,5,177340.185,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,209,2376.0198,10,1588041.625,199,2348.5752,5,2047365.712,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,194,512.055,10,25383.39525,184,498.96,5,5198.31675,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,189,978.7626,10,123583.056,179,967.5288,5,22017.0572,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,174,1101.33,5,42518.37825,164,1860.3,10,1173692.025,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,169,1882.728,5,80944.02252,159,1743.372,10,201395.073,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,154,897.75,10,86129.73,144,1404,5,491452.6163,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,149,1602.7362,10,346447.4487,139,1549.4112,5,602259.1162,orgsoilC_g_m2,BLAN2006
321,90.4608,10,6695.192678,331,329.4586667,18,376650.6699,NA,NA,NA,NA,AGBC_g_m2,BRAD2006
301,21.0672,10,30.0582144,311,642.6048,10,838120.7773,NA,NA,NA,NA,AGBC_g_m2,BRAD2006
300,1134.738936,25,397880.0972,310,1211.521248,25,508793.4071,NA,NA,NA,NA,totsoilC_g_m2,BRAD2006
320,1943.93088,25,720410.5392,330,1468.447691,33,1108162.064,NA,NA,NA,NA,totsoilC_g_m2,BRAD2006
502,185.6183333,3,6471.778994,507,139.9533333,3,1167.706156,NA,NA,NA,NA,BGBC_g_m2,GOER2011
512,48.46,3,254.938288,517,46.635,3,26.418949,NA,NA,NA,NA,BGBC_g_m2,GOER2011
522,161.4106667,3,6540.163641,527,139.527,3,2155.889947,NA,NA,NA,NA,BGBC_g_m2,GOER2011
532,77.52333333,3,2.753957333,537,223.248,3,36550.34631,NA,NA,NA,NA,BGBC_g_m2,GOER2011
504,2730.699667,3,683215.1879,509,2573.107333,3,431345.5444,NA,NA,NA,NA,orgsoilC_g_m2,GOER2011
514,3228.856333,3,146468.8312,519,3394.44,3,74618.99175,NA,NA,NA,NA,orgsoilC_g_m2,GOER2011
524,1279.486333,3,46775.62214,529,1156.449333,3,107320.328,NA,NA,NA,NA,orgsoilC_g_m2,GOER2011
534,1382.053667,3,92751.46279,539,1207.813667,3,36569.48921,NA,NA,NA,NA,orgsoilC_g_m2,GOER2011
541,116.2471368,5,268.1480842,NA,NA,NA,NA,546,498.4553389,5,43729.46702,AGBC_g_m2,HOOK2008
542,220.9258516,5,10592.50878,NA,NA,NA,NA,547,263.1454245,5,1722.827557,BGBC_g_m2,HOOK2008
543,112.9316848,5,783.2949272,NA,NA,NA,NA,548,60.85404031,5,356.7316714,litterC_g_m2,HOOK2008
544,7330.761934,5,563263.5231,NA,NA,NA,NA,549,6167.207542,5,1149270.047,orgsoilC_g_m2,HOOK2008
555,5404.767152,15,871988.4725,NA,NA,NA,NA,560,1511.806853,15,11177.19133,totsoilC_g_m2,JOHN2011
2005,2099.553669,4,936407.5157,640,2594.568568,3,414603.6926,NA,NA,NA,NA,totsoilC_g_m2,MAHO2018a
2001,1608.835134,4,79682.11854,665,1477.041773,4,70974.43944,NA,NA,NA,NA,totsoilC_g_m2,MAHO2018a
2002,1745.457029,3,81628.263,690,1393.002154,1,NA,NA,NA,NA,NA,totsoilC_g_m2,MAHO2018a
2003,1920.754143,2,4650.497781,670,2821.325097,1,NA,NA,NA,NA,NA,totsoilC_g_m2,MAHO2018a
2004,1283.137366,3,34290.61779,615,1623.822472,1,NA,NA,NA,NA,NA,totsoilC_g_m2,MAHO2018a
1219,2066.94218,19,615474.419,1224,1870.689094,19,147555.9369,NA,NA,NA,NA,orgsoilC_g_m2,NORT2008
1232,1827.095387,68,152124.3836,NA,NA,NA,NA,1242,1606.497863,68,142357.2592,orgsoilC_g_m2,NORT2012
1233,1901.214444,64,186952.0379,NA,NA,NA,NA,1243,1590.17726,64,212496.2403,orgsoilC_g_m2,NORT2012
1474,1672.12,4,232598.9141,1514,1740.46,4,111849.4736,1494,1389.24,4,61128.66347,orgsoilC_g_m2,STAR2015
1479,1340.55,4,95336.19,1519,1415.475,4,93289.5225,1499,1130.2875,4,98443.40063,orgsoilC_g_m2,STAR2015
1484,2190.5025,4,70428.48203,1524,2418.9375,4,427787.9474,1504,1859.49,4,55895.1054,orgsoilC_g_m2,STAR2015
1489,1876.935,4,111922.071,1529,1883.215,4,216657.3153,1509,1712.87,4,136709.9271,orgsoilC_g_m2,STAR2015
1531,21.74,5,NA,NA,NA,NA,NA,1541,13.94,5,NA,AGBC_g_m2,SVEJ2001
1532,13.8,5,NA,NA,NA,NA,NA,1542,10.67,5,NA,AGBC_g_m2,SVEJ2001
1551,16.9,5,NA,NA,NA,NA,NA,1561,26.12,5,NA,AGBC_g_m2,SVEJ2001
1552,13.8,5,NA,NA,NA,NA,NA,1562,28.26,5,NA,AGBC_g_m2,SVEJ2001
1571,14.69,5,NA,NA,NA,NA,NA,1581,19,5,NA,AGBC_g_m2,SVEJ2001
1572,11.34,5,NA,NA,NA,NA,NA,1582,13.19,5,NA,AGBC_g_m2,SVEJ2001
1533,48.3,5,NA,NA,NA,NA,NA,1543,60.41,5,NA,BGBC_g_m2,SVEJ2001
1534,7.8,5,NA,NA,NA,NA,NA,1544,29.96,5,NA,BGBC_g_m2,SVEJ2001
1553,36.85,5,NA,NA,NA,NA,NA,1563,27.25,5,NA,BGBC_g_m2,SVEJ2001
1554,10.49,5,NA,NA,NA,NA,NA,1564,11.49,5,NA,BGBC_g_m2,SVEJ2001
1573,41.08,5,NA,NA,NA,NA,NA,1583,61.84,5,NA,BGBC_g_m2,SVEJ2001
1574,12.32,5,NA,NA,NA,NA,NA,1584,15.72,5,NA,BGBC_g_m2,SVEJ2001
1535,3.07,5,NA,NA,NA,NA,NA,1545,2.51,5,NA,litterC_g_m2,SVEJ2001
1536,13.58,5,NA,NA,NA,NA,NA,1546,11.27,5,NA,litterC_g_m2,SVEJ2001
1555,3.53,5,NA,NA,NA,NA,NA,1565,2.28,5,NA,litterC_g_m2,SVEJ2001
1556,2.76,5,NA,NA,NA,NA,NA,1566,8.38,5,NA,litterC_g_m2,SVEJ2001
1575,2.76,5,NA,NA,NA,NA,NA,1585,1.37,5,NA,litterC_g_m2,SVEJ2001
1576,15.05,5,NA,NA,NA,NA,NA,1586,5.91,5,NA,litterC_g_m2,SVEJ2001
1664,1104.42,6,70470.97546,NA,NA,NA,NA,1674,1731.996,6,154477.5116,orgsoilC_g_m2,WEBE2015
1669,547.944,6,2040.417562,NA,NA,NA,NA,1679,862.68,6,19446.51663,orgsoilC_g_m2,WEBE2015
260,1129.95,1,NA,NA,NA,NA,NA,270,772.9,1,NA,totsoilC_g_m2,BOUL1993
265,910.8,1,NA,NA,NA,NA,NA,275,567.6,1,NA,totsoilC_g_m2,BOUL1993
414,1.340304066,10,0.113464819,419,1.048236147,8,0.078789349,NA,NA,NA,NA,orgsoilC_g_m2,GASC2013
1701,6.421699078,6,12.37282426,1706,83.2329135,6,208.3801766,NA,NA,NA,NA,AGBC_g_m2,WITW2013
1702,43.07468998,6,1440.967731,1707,45.4693394,6,1045.99666,NA,NA,NA,NA,BGBC_g_m2,WITW2013
10,1562.11117,3,22341.6643,NA,NA,NA,NA,35,740.6745363,3,67087.98448,orgsoilC_g_m2,ACKE1992
22,849.866403,3,110834.7645,NA,NA,NA,NA,47,1112.718119,3,855514.832,orgsoilC_g_m2,ACKE1992
11,2022.8258,4,376837.162,NA,NA,NA,NA,36,1927.384225,4,33883.69522,orgsoilC_g_m2,ACKE1992
23,743.9612704,4,28251.27768,NA,NA,NA,NA,48,1139.823254,4,8492.59451,orgsoilC_g_m2,ACKE1992
12,2079.140608,16,403354.6853,NA,NA,NA,NA,37,1395.056325,16,133774.9517,orgsoilC_g_m2,ACKE1992
NA,NA,NA,NA,96,18.62817399,25,478.4232677,81,23.57896257,25,494.1815369,AGBC_g_m2,BANS2014
56,20.07023409,25,52.42224969,91,50.17942503,25,3458.812412,NA,NA,NA,NA,AGBC_g_m2,BANS2014